feature,n_days,robust_cv,mad_diff,period_lag_days_cycle_relevant,period_strength_abs_acf_cycle_relevant,period_signed_acf_cycle_relevant,robust_cv_pct,mad_diff_pct,variation_score,flatness_score,periodicity_score
prosody_egemaps_F0semitoneFrom27.5Hz_sma3nz_amean,40,0.03377920151554545,1.1204490661621094,20,0.25691901008089985,-0.25691901008089985,0.07954545454545454,0.6477272727272727,0.3068181818181818,0.6931818181818181,0.25691901008089985
prosody_egemaps_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,40,0.5751297389717178,25.90856170654297,19,0.3444802964227263,0.3444802964227263,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.09090909090909094,0.3444802964227263
prosody_egemaps_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,40,0.6392794896237572,84.3441162109375,20,0.28173979281108563,0.28173979281108563,0.9545454545454546,0.9886363636363636,0.9681818181818183,0.031818181818181746,0.28173979281108563
prosody_egemaps_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,40,0.19444703717346745,0.4169349670410156,18,0.5582105440706924,-0.5582105440706924,0.625,0.5,0.575,0.42500000000000004,0.5582105440706924
prosody_egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,40,0.025849714025942695,0.601837158203125,9,0.40926066959251384,-0.40926066959251384,0.056818181818181816,0.5681818181818182,0.26136363636363635,0.7386363636363636,0.40926066959251384
prosody_egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,40,0.021159671591971973,0.45748329162597656,20,0.5279238522487153,-0.5279238522487153,0.03409090909090909,0.5113636363636364,0.225,0.775,0.5279238522487153
prosody_egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,40,0.0261894136150652,0.4817085266113281,16,0.36633463516666653,0.36633463516666653,0.06818181818181818,0.5340909090909091,0.2545454545454545,0.7454545454545455,0.36633463516666653
prosody_egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,40,0.5773418234752307,44.33914279937744,17,0.48607595012506954,0.48607595012506954,0.9204545454545454,0.9545454545454546,0.9340909090909091,0.06590909090909092,0.48607595012506954
prosody_egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,40,0.2457136749992725,0.03052084892988205,19,0.5729124696761757,0.5729124696761757,0.6931818181818182,0.14772727272727273,0.47500000000000003,0.5249999999999999,0.5729124696761757
prosody_egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,40,0.5744180145377942,111.03550720214844,18,0.1564804292939554,-0.1564804292939554,0.8977272727272727,1.0,0.9386363636363636,0.0613636363636364,0.1564804292939554
prosody_egemaps_F1amplitudeLogRelF0_sma3nz_amean,40,0.08226241622013826,7.444004058837891,18,0.3928618448118656,0.3928618448118656,0.2727272727272727,0.8863636363636364,0.5181818181818182,0.4818181818181818,0.3928618448118656
prosody_egemaps_F1amplitudeLogRelF0_sma3nz_stddevNorm,40,0.07570607084411854,0.06512007117271423,18,0.3833307791676769,0.3833307791676769,0.22727272727272727,0.3409090909090909,0.2727272727272727,0.7272727272727273,0.3833307791676769
prosody_egemaps_F1bandwidth_sma3nz_amean,40,0.014125417184862956,20.9036865234375,19,0.4365966033472498,-0.4365966033472498,0.011363636363636364,0.8977272727272727,0.36590909090909096,0.634090909090909,0.4365966033472498
prosody_egemaps_F1bandwidth_sma3nz_stddevNorm,40,0.12466868863461676,0.017135903239250183,15,0.4452144221222231,-0.4452144221222231,0.42045454545454547,0.09090909090909091,0.28863636363636364,0.7113636363636364,0.4452144221222231
prosody_egemaps_F1frequency_sma3nz_amean,40,0.06519566053472363,28.342498779296875,16,0.36052625099753915,0.36052625099753915,0.11363636363636363,0.9318181818181818,0.4409090909090909,0.5590909090909091,0.36052625099753915
prosody_egemaps_F1frequency_sma3nz_stddevNorm,40,0.08739524251664946,0.027312099933624268,14,0.4529520344711393,0.4529520344711393,0.2840909090909091,0.13636363636363635,0.225,0.775,0.4529520344711393
prosody_egemaps_F2amplitudeLogRelF0_sma3nz_amean,40,0.0765446944845764,6.582145690917969,18,0.428427581432734,0.428427581432734,0.23863636363636365,0.8636363636363636,0.48863636363636365,0.5113636363636364,0.428427581432734
prosody_egemaps_F2amplitudeLogRelF0_sma3nz_stddevNorm,40,0.0677296926617235,0.053572237491607666,15,0.41036027666302527,-0.41036027666302527,0.1590909090909091,0.2840909090909091,0.2090909090909091,0.7909090909090909,0.41036027666302527
prosody_egemaps_F2bandwidth_sma3nz_amean,40,0.040980241545781476,26.0928955078125,14,0.42957102417185844,-0.42957102417185844,0.09090909090909091,0.9204545454545454,0.42272727272727273,0.5772727272727273,0.42957102417185844
prosody_egemaps_F2bandwidth_sma3nz_stddevNorm,40,0.08836507301686057,0.04076337814331055,16,0.36744858023393856,-0.36744858023393856,0.3068181818181818,0.20454545454545456,0.26590909090909093,0.7340909090909091,0.36744858023393856
prosody_egemaps_F2frequency_sma3nz_amean,40,0.02402070902652888,33.10516357421875,18,0.4260813273814379,0.4260813273814379,0.045454545454545456,0.9431818181818182,0.4045454545454546,0.5954545454545455,0.4260813273814379
prosody_egemaps_F2frequency_sma3nz_stddevNorm,40,0.10688486271745919,0.01130426675081253,14,0.23905461250428464,-0.23905461250428464,0.36363636363636365,0.056818181818181816,0.2409090909090909,0.759090909090909,0.23905461250428464
prosody_egemaps_F3amplitudeLogRelF0_sma3nz_amean,40,0.06614777237732715,6.838645935058594,18,0.43550862771727156,0.43550862771727156,0.125,0.875,0.42500000000000004,0.575,0.43550862771727156
prosody_egemaps_F3amplitudeLogRelF0_sma3nz_stddevNorm,40,0.07004966174531548,0.05672949552536011,18,0.4533700622793856,0.4533700622793856,0.18181818181818182,0.29545454545454547,0.2272727272727273,0.7727272727272727,0.4533700622793856
prosody_egemaps_F3bandwidth_sma3nz_amean,40,0.0695701001005348,63.9591064453125,10,0.4834752784551624,0.4834752784551624,0.17045454545454544,0.9772727272727273,0.49318181818181817,0.5068181818181818,0.4834752784551624
prosody_egemaps_F3bandwidth_sma3nz_stddevNorm,40,0.1341614358468374,0.03853338956832886,18,0.714497082425627,-0.714497082425627,0.45454545454545453,0.17045454545454544,0.3409090909090909,0.6590909090909092,0.714497082425627
prosody_egemaps_F3frequency_sma3nz_amean,40,0.01726740627175136,54.667236328125,15,0.4011182071914124,-0.4011182071914124,0.022727272727272728,0.9659090909090909,0.4,0.6,0.4011182071914124
prosody_egemaps_F3frequency_sma3nz_stddevNorm,40,0.15435983468898395,0.009446732699871063,10,0.41787907173739125,0.41787907173739125,0.5113636363636364,0.045454545454545456,0.325,0.675,0.41787907173739125
prosody_egemaps_HNRdBACF_sma3nz_amean,40,0.11783754024422126,0.8002338409423828,17,0.33527539105639687,0.33527539105639687,0.3977272727272727,0.5909090909090909,0.475,0.525,0.33527539105639687
prosody_egemaps_HNRdBACF_sma3nz_stddevNorm,40,0.10581108566004925,0.042654842138290405,11,0.4320729221646234,-0.4320729221646234,0.3522727272727273,0.23863636363636365,0.3068181818181818,0.6931818181818181,0.4320729221646234
prosody_egemaps_MeanUnvoicedSegmentLength,40,0.09059088895003356,0.02276456356048584,12,0.411287138033411,-0.411287138033411,0.3181818181818182,0.10227272727272728,0.2318181818181818,0.7681818181818182,0.411287138033411
prosody_egemaps_MeanVoicedSegmentLengthSec,40,0.1446559344227257,0.0259525328874588,18,0.5524456048044428,0.5524456048044428,0.4772727272727273,0.125,0.33636363636363636,0.6636363636363636,0.5524456048044428
prosody_egemaps_StddevUnvoicedSegmentLength,40,0.1262608395877947,0.038242995738983154,19,0.6011458014860053,-0.6011458014860053,0.4318181818181818,0.1590909090909091,0.32272727272727275,0.6772727272727272,0.6011458014860053
prosody_egemaps_StddevVoicedSegmentLengthSec,40,0.2575112572783666,0.025119133293628693,19,0.6074675048538498,0.6074675048538498,0.7045454545454546,0.11363636363636363,0.4681818181818182,0.5318181818181817,0.6074675048538498
prosody_egemaps_VoicedSegmentsPerSec,40,0.07795875128382869,0.23312973976135254,14,0.5033485636820595,0.5033485636820595,0.26136363636363635,0.4659090909090909,0.34318181818181814,0.6568181818181819,0.5033485636820595
prosody_egemaps_alphaRatioUV_sma3nz_amean,40,0.2587420043195022,2.0268049240112305,15,0.4379746448693719,-0.4379746448693719,0.7159090909090909,0.7159090909090909,0.7159090909090909,0.28409090909090906,0.4379746448693719
prosody_egemaps_alphaRatioV_sma3nz_amean,40,0.09903808269811736,1.7408161163330078,14,0.3305425458868162,0.3305425458868162,0.32954545454545453,0.6931818181818182,0.475,0.525,0.3305425458868162
prosody_egemaps_alphaRatioV_sma3nz_stddevNorm,40,0.15279552354964143,0.06900519132614136,13,0.5156607277108644,-0.5156607277108644,0.5,0.36363636363636365,0.44545454545454544,0.5545454545454546,0.5156607277108644
prosody_egemaps_equivalentSoundLevel_dBp,40,0.07355410157704168,1.3787145614624023,7,0.33355386476853327,0.33355386476853327,0.20454545454545456,0.6818181818181818,0.39545454545454545,0.6045454545454545,0.33355386476853327
prosody_egemaps_hammarbergIndexUV_sma3nz_amean,40,0.19317605597395826,2.8797435760498047,10,0.45495867336439244,-0.45495867336439244,0.6136363636363636,0.7727272727272727,0.6772727272727272,0.32272727272727275,0.45495867336439244
prosody_egemaps_hammarbergIndexV_sma3nz_amean,40,0.11368971988981116,2.0099754333496094,16,0.41085891560624593,-0.41085891560624593,0.38636363636363635,0.7045454545454546,0.5136363636363637,0.48636363636363633,0.41085891560624593
prosody_egemaps_hammarbergIndexV_sma3nz_stddevNorm,40,0.1329971182099678,0.040190190076828,17,0.5789328719435856,0.5789328719435856,0.4431818181818182,0.18181818181818182,0.3386363636363636,0.6613636363636364,0.5789328719435856
prosody_egemaps_jitterLocal_sma3nz_amean,40,0.17299617698073316,0.004330003634095192,16,0.33948828527604824,-0.33948828527604824,0.5568181818181818,0.03409090909090909,0.34772727272727266,0.6522727272727273,0.33948828527604824
prosody_egemaps_jitterLocal_sma3nz_stddevNorm,40,0.26452841050154874,0.3518804609775543,16,0.3406956396604412,-0.3406956396604412,0.7386363636363636,0.48863636363636365,0.6386363636363637,0.36136363636363633,0.3406956396604412
prosody_egemaps_logRelF0-H1-A3_sma3nz_amean,40,0.11961027380927873,2.9916820526123047,18,0.5739219909723077,0.5739219909723077,0.4090909090909091,0.7840909090909091,0.5590909090909091,0.4409090909090909,0.5739219909723077
prosody_egemaps_logRelF0-H1-A3_sma3nz_stddevNorm,40,0.2148203333259852,0.07526665925979614,12,0.3905671282714141,-0.3905671282714141,0.6704545454545454,0.38636363636363635,0.5568181818181818,0.44318181818181823,0.3905671282714141
prosody_egemaps_logRelF0-H1-H2_sma3nz_amean,40,0.3769184174975958,2.586975574493408,15,0.3404245726250949,0.3404245726250949,0.7840909090909091,0.7613636363636364,0.7749999999999999,0.2250000000000001,0.3404245726250949
prosody_egemaps_logRelF0-H1-H2_sma3nz_stddevNorm,40,0.4398401815312835,0.8301053643226624,15,0.1984197430279847,-0.1984197430279847,0.8068181818181818,0.6022727272727273,0.725,0.275,0.1984197430279847
prosody_egemaps_loudnessPeaksPerSec,40,0.0667799958364345,0.2711089849472046,18,0.39100318090891817,0.39100318090891817,0.13636363636363635,0.4772727272727273,0.2727272727272727,0.7272727272727273,0.39100318090891817
prosody_egemaps_loudness_sma3_amean,40,0.19666855086339524,0.05963149666786194,10,0.34734990147582706,-0.34734990147582706,0.6363636363636364,0.3068181818181818,0.5045454545454545,0.4954545454545455,0.34734990147582706
prosody_egemaps_loudness_sma3_meanFallingSlope,40,0.14611102966179818,0.9935023784637451,16,0.40991208956952846,-0.40991208956952846,0.48863636363636365,0.6136363636363636,0.5386363636363636,0.4613636363636364,0.40991208956952846
prosody_egemaps_loudness_sma3_meanRisingSlope,40,0.19886513250679802,1.0934967994689941,10,0.37214288014940916,-0.37214288014940916,0.6477272727272727,0.625,0.6386363636363637,0.36136363636363633,0.37214288014940916
prosody_egemaps_loudness_sma3_pctlrange0-2,40,0.17470197956609898,0.0755774974822998,18,0.2900155749305104,0.2900155749305104,0.5681818181818182,0.3977272727272727,0.5,0.5,0.2900155749305104
prosody_egemaps_loudness_sma3_percentile20.0,40,0.2955178813957269,0.04149991273880005,20,0.29755584546408825,0.29755584546408825,0.7613636363636364,0.2159090909090909,0.5431818181818182,0.4568181818181818,0.29755584546408825
prosody_egemaps_loudness_sma3_percentile50.0,40,0.17099988294774407,0.07442370057106018,20,0.41191817451435364,0.41191817451435364,0.5340909090909091,0.375,0.47045454545454546,0.5295454545454545,0.41191817451435364
prosody_egemaps_loudness_sma3_percentile80.0,40,0.18948753798850618,0.08117163181304932,10,0.37210424018830573,-0.37210424018830573,0.6022727272727273,0.4090909090909091,0.525,0.475,0.37210424018830573
prosody_egemaps_loudness_sma3_stddevFallingSlope,40,0.17198697862848986,0.47032880783081055,16,0.41739130023552423,-0.41739130023552423,0.5454545454545454,0.5227272727272727,0.5363636363636364,0.4636363636363636,0.41739130023552423
prosody_egemaps_loudness_sma3_stddevNorm,40,0.05059724803150405,0.04852926731109619,18,0.35810289557764124,0.35810289557764124,0.10227272727272728,0.26136363636363635,0.16590909090909092,0.8340909090909091,0.35810289557764124
prosody_egemaps_loudness_sma3_stddevRisingSlope,40,0.18737654637287054,0.5697576999664307,17,0.34123573292681564,-0.34123573292681564,0.5909090909090909,0.5454545454545454,0.5727272727272728,0.42727272727272725,0.34123573292681564
prosody_egemaps_mfcc1V_sma3nz_amean,40,0.06728172099394228,2.5514144897460938,19,0.42244348339726656,-0.42244348339726656,0.14772727272727273,0.75,0.38863636363636367,0.6113636363636363,0.42244348339726656
prosody_egemaps_mfcc1V_sma3nz_stddevNorm,40,0.13820417621806513,0.04673251509666443,17,0.6472301033473733,0.6472301033473733,0.4659090909090909,0.25,0.3795454545454545,0.6204545454545455,0.6472301033473733
prosody_egemaps_mfcc1_sma3_amean,40,0.07379919809938287,2.327899932861328,9,0.5067610977346145,0.5067610977346145,0.2159090909090909,0.7386363636363636,0.42500000000000004,0.575,0.5067610977346145
prosody_egemaps_mfcc1_sma3_stddevNorm,40,0.1125973781135468,0.06824105978012085,19,0.4918828123223133,-0.4918828123223133,0.375,0.3522727272727273,0.3659090909090909,0.634090909090909,0.4918828123223133
prosody_egemaps_mfcc2V_sma3nz_amean,40,0.7981558650271935,3.8956568241119385,18,0.4600820504758201,0.4600820504758201,0.9772727272727273,0.8181818181818182,0.9136363636363636,0.08636363636363642,0.4600820504758201
prosody_egemaps_mfcc2V_sma3nz_stddevNorm,40,0.8347036529548808,2.303702712059021,19,0.9342067106183144,0.9342067106183144,0.9886363636363636,0.7272727272727273,0.884090909090909,0.11590909090909096,0.9342067106183144
prosody_egemaps_mfcc2_sma3_amean,40,0.41866382878372194,3.5417561531066895,14,0.4336248453882709,0.4336248453882709,0.7954545454545454,0.8068181818181818,0.8,0.19999999999999996,0.4336248453882709
prosody_egemaps_mfcc2_sma3_stddevNorm,40,0.506606939082795,0.7601233720779419,15,0.46239634100357285,-0.46239634100357285,0.8409090909090909,0.5795454545454546,0.7363636363636363,0.26363636363636367,0.46239634100357285
prosody_egemaps_mfcc3V_sma3nz_amean,40,0.5998104565069239,3.9998626708984375,14,0.37236059305896,0.37236059305896,0.9318181818181818,0.8295454545454546,0.8909090909090909,0.10909090909090913,0.37236059305896
prosody_egemaps_mfcc3V_sma3nz_stddevNorm,40,0.5112029228162478,1.136304259300232,8,0.3111879806843777,-0.3111879806843777,0.8522727272727273,0.6590909090909091,0.7749999999999999,0.2250000000000001,0.3111879806843777
prosody_egemaps_mfcc3_sma3_amean,40,0.540406980866334,4.803532600402832,14,0.4801893846381778,0.4801893846381778,0.875,0.8522727272727273,0.865909090909091,0.13409090909090904,0.4801893846381778
prosody_egemaps_mfcc3_sma3_stddevNorm,40,0.5411884936078696,1.107511043548584,10,0.3739155315569643,-0.3739155315569643,0.8863636363636364,0.6363636363636364,0.7863636363636364,0.21363636363636362,0.3739155315569643
prosody_egemaps_mfcc4V_sma3nz_amean,40,0.5016228895124406,4.680220603942871,16,0.3765937249026531,0.3765937249026531,0.8295454545454546,0.8409090909090909,0.8340909090909092,0.16590909090909078,0.3765937249026531
prosody_egemaps_mfcc4V_sma3nz_stddevNorm,40,0.4409138445117819,0.6003023982048035,16,0.42021531857137207,-0.42021531857137207,0.8181818181818182,0.5568181818181818,0.7136363636363636,0.2863636363636364,0.42021531857137207
prosody_egemaps_mfcc4_sma3_amean,40,0.6044234010680493,3.20842182636261,14,0.27972850135374977,-0.27972850135374977,0.9431818181818182,0.7954545454545454,0.884090909090909,0.11590909090909096,0.27972850135374977
prosody_egemaps_mfcc4_sma3_stddevNorm,40,0.5204693612932877,1.2856439352035522,12,0.4889699704240369,-0.4889699704240369,0.8636363636363636,0.6704545454545454,0.7863636363636364,0.21363636363636362,0.4889699704240369
prosody_egemaps_shimmerLocaldB_sma3nz_amean,40,0.07152950262607334,0.09158629179000854,18,0.41188309893192543,-0.41188309893192543,0.19318181818181818,0.4431818181818182,0.2931818181818182,0.7068181818181818,0.41188309893192543
prosody_egemaps_shimmerLocaldB_sma3nz_stddevNorm,40,0.10162543212129789,0.08241665363311768,12,0.4300259421032163,-0.4300259421032163,0.3409090909090909,0.42045454545454547,0.37272727272727274,0.6272727272727272,0.4300259421032163
prosody_egemaps_slopeUV0-500_sma3nz_amean,40,0.6807491142750176,0.012654287740588188,14,0.40762670659078687,0.40762670659078687,0.9659090909090909,0.06818181818181818,0.6068181818181818,0.3931818181818182,0.40762670659078687
prosody_egemaps_slopeUV500-1500_sma3nz_amean,40,1.1674179072932447,0.003988583572208881,20,0.5400875833236372,0.5400875833236372,1.0,0.022727272727272728,0.609090909090909,0.390909090909091,0.5400875833236372
prosody_egemaps_slopeV0-500_sma3nz_amean,40,0.2670613831801489,0.012866774573922157,14,0.5309298781535506,0.5309298781535506,0.75,0.07954545454545454,0.48181818181818176,0.5181818181818183,0.5309298781535506
prosody_egemaps_slopeV0-500_sma3nz_stddevNorm,40,0.3229504004057346,0.1617896556854248,12,0.39826966936938396,0.39826966936938396,0.7727272727272727,0.45454545454545453,0.6454545454545455,0.3545454545454545,0.39826966936938396
prosody_egemaps_slopeV500-1500_sma3nz_amean,40,0.1709548652948663,0.0034158900380134583,17,0.33389262395741104,-0.33389262395741104,0.5227272727272727,0.011363636363636364,0.3181818181818181,0.6818181818181819,0.33389262395741104
prosody_egemaps_slopeV500-1500_sma3nz_stddevNorm,40,0.1749744892515041,0.08335864543914795,17,0.3743382358740017,-0.3743382358740017,0.5795454545454546,0.4318181818181818,0.5204545454545455,0.4795454545454545,0.3743382358740017
prosody_egemaps_spectralFluxUV_sma3nz_amean,40,0.2132279462326603,0.04019595682621002,10,0.3831760644744863,-0.3831760644744863,0.6590909090909091,0.19318181818181818,0.4727272727272727,0.5272727272727273,0.3831760644744863
prosody_egemaps_spectralFluxV_sma3nz_amean,40,0.24143813777596712,0.06423798203468323,10,0.29641661650145246,-0.29641661650145246,0.6818181818181818,0.32954545454545453,0.5409090909090909,0.4590909090909091,0.29641661650145246
prosody_egemaps_spectralFluxV_sma3nz_stddevNorm,40,0.0883554346502949,0.05059969425201416,9,0.35551101963349296,-0.35551101963349296,0.29545454545454547,0.2727272727272727,0.2863636363636364,0.7136363636363636,0.35551101963349296
prosody_egemaps_spectralFlux_sma3_amean,40,0.26022634144949464,0.04199087619781494,10,0.30735198805206493,-0.30735198805206493,0.7272727272727273,0.22727272727272727,0.5272727272727272,0.4727272727272728,0.30735198805206493
prosody_egemaps_spectralFlux_sma3_stddevNorm,40,0.07786935177441981,0.06336280703544617,9,0.47245224833302546,-0.47245224833302546,0.25,0.3181818181818182,0.2772727272727273,0.7227272727272727,0.47245224833302546
