base,task,family,n,rho,p,partial_rho_date,fdr_q
egemaps_hammarbergIndexUV_sma3nz_amean,vowel,other,47,-0.4540853371482402,0.0013458131993291961,-0.39621364700208356,0.23686312308193852
egemaps_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,prosody,other,45,-0.4323327249419424,0.003018427026334067,-0.32429975190679206,0.2656215783173979
egemaps_alphaRatioUV_sma3nz_amean,vowel,other,47,0.3775560503906451,0.008888448162744958,0.32338385472696246,0.34189756374325736
egemaps_mfcc3V_sma3nz_stddevNorm,vowel,other,47,0.3772231967903264,0.008953575088838558,0.32614549972381607,0.34189756374325736
egemaps_mfcc3_sma3_stddevNorm,vowel,other,47,0.3675063159162426,0.01104499358094107,0.3253253700663118,0.34189756374325736
egemaps_spectralFluxUV_sma3nz_amean,vowel,other,47,-0.34538037110018777,0.01741954015099087,-0.3120012681125771,0.34189756374325736
egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,vowel,source_pitch,47,0.33239829990095154,0.022443224907987232,0.10383116014770243,0.34189756374325736
egemaps_mfcc1_sma3_stddevNorm,vowel,other,47,0.33083665833190234,0.023122306688742263,0.2815521050094603,0.34189756374325736
egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,prosody,source_pitch,45,0.33413520052677564,0.024878713028871423,0.20446638956674212,0.34189756374325736
egemaps_spectralFluxV_sma3nz_amean,vowel,other,47,0.3237225134062338,0.02643793031333648,0.1636243552378015,0.34189756374325736
egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,vowel,source_pitch,47,0.316955399940354,0.02995116111596676,0.09922252620058987,0.34189756374325736
egemaps_F0semitoneFrom27.5Hz_sma3nz_amean,vowel,source_pitch,47,0.3168397227870911,0.030014430663834173,0.08895131288130659,0.34189756374325736
egemaps_F1amplitudeLogRelF0_sma3nz_stddevNorm,vowel,other,47,0.3137164396489927,0.031765118921461326,0.3171661596523586,0.34189756374325736
egemaps_alphaRatioV_sma3nz_amean,vowel,surface_damping,47,0.3126753452696266,0.03236714970057169,0.14110118899143528,0.34189756374325736
egemaps_MeanUnvoicedSegmentLength,prosody,other,45,-0.3102778154004062,0.038047874959151115,-0.20632753868615938,0.34189756374325736
egemaps_hammarbergIndexV_sma3nz_stddevNorm,prosody,other,45,-0.3084324927939467,0.03926863822115729,-0.213790973544761,0.34189756374325736
egemaps_loudness_sma3_percentile50.0,vowel,other,47,0.2995459883742871,0.04080370755038504,0.1123189895944591,0.34189756374325736
egemaps_F3amplitudeLogRelF0_sma3nz_amean,prosody,other,45,0.30362147314139154,0.042602795894903824,0.13596101722522738,0.34189756374325736
egemaps_mfcc4_sma3_amean,prosody,other,45,-0.30203976805014054,0.043748096321442304,-0.21481515159225215,0.34189756374325736
egemaps_spectralFlux_sma3_amean,vowel,other,47,0.29515025655029686,0.0440014533115704,0.11678424804804168,0.34189756374325736
egemaps_F1amplitudeLogRelF0_sma3nz_stddevNorm,prosody,other,45,-0.3015125330197236,0.04413538941869556,-0.13045711710946398,0.34189756374325736
egemaps_equivalentSoundLevel_dBp,vowel,other,47,0.29370429213451055,0.04509695860416767,0.10538924331639475,0.34189756374325736
egemaps_slopeV0-500_sma3nz_amean,prosody,surface_damping,45,0.2994035928980555,0.0457125699237835,0.19524308018845069,0.34189756374325736
egemaps_F1bandwidth_sma3nz_stddevNorm,vowel,other,47,0.2917377805290412,0.046622395055898734,0.1343141320986414,0.34189756374325736
egemaps_mfcc2V_sma3nz_amean,vowel,spectral_envelope_mfcc,47,-0.2889615288507315,0.04884711365402078,-0.10818246854078897,0.3438836801243063
egemaps_mfcc1V_sma3nz_stddevNorm,vowel,other,47,0.28271496257453477,0.054168142366580165,0.2441786012321281,0.34471169024142617
egemaps_StddevUnvoicedSegmentLength,prosody,other,45,-0.285431864592005,0.057353976163359785,-0.25218806136731825,0.34471169024142617
egemaps_F2amplitudeLogRelF0_sma3nz_amean,prosody,other,45,0.28226845440950293,0.06029466096402215,0.09388378471289464,0.34471169024142617
egemaps_F1amplitudeLogRelF0_sma3nz_amean,prosody,other,45,0.2815435062426796,0.060985259923277094,0.0977984556661117,0.34471169024142617
egemaps_loudness_sma3_meanFallingSlope,vowel,other,47,0.27438620753960574,0.0619793617201611,0.21095004646075127,0.34471169024142617
egemaps_logRelF0-H1-A3_sma3nz_stddevNorm,vowel,other,47,0.2738656603499227,0.06249598928865385,0.2827139721853062,0.34471169024142617
egemaps_VoicedSegmentsPerSec,prosody,other,45,0.2760768667729197,0.06639861125640086,0.2506412538169115,0.34471169024142617
egemaps_loudness_sma3_percentile80.0,vowel,other,47,0.26923857421940656,0.06724096572935395,0.09247245164218586,0.34471169024142617
egemaps_loudness_sma3_amean,vowel,other,47,0.26750341692046303,0.06909248519708314,0.059946824447746745,0.34471169024142617
egemaps_F2amplitudeLogRelF0_sma3nz_stddevNorm,prosody,other,45,-0.27244870196798626,0.07019741242584925,-0.09519341295539917,0.34471169024142617
egemaps_mfcc2_sma3_amean,vowel,other,47,-0.2636282322861558,0.07337364515984804,-0.0531957536152014,0.34471169024142617
egemaps_F1frequency_sma3nz_amean,prosody,geometric_vocal_tract,45,0.2686921523762651,0.07430981311480951,0.21890112057121205,0.34471169024142617
egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,vowel,source_pitch,47,0.26270281506005255,0.07442638766576247,0.048117013028565456,0.34471169024142617
egemaps_mfcc3_sma3_amean,prosody,other,45,-0.2667150210122014,0.07654923640640643,-0.16479210394875765,0.34545296429557776
egemaps_loudnessPeaksPerSec,vowel,other,47,0.25260213682874566,0.08670805323038545,0.2884071434522995,0.380129452850963
egemaps_slopeUV0-500_sma3nz_amean,prosody,other,45,0.25682936419188257,0.08855288390278115,0.11992296192545979,0.380129452850963
egemaps_logRelF0-H1-A3_sma3nz_stddevNorm,prosody,other,45,-0.24542790665911488,0.10415974250046395,-0.20726106231251745,0.4362313479060152
egemaps_mfcc4V_sma3nz_stddevNorm,prosody,other,45,0.24378029718906175,0.10657924977249235,0.2622356888265004,0.4362313479060152
egemaps_loudness_sma3_percentile20.0,vowel,other,47,0.23308946382474938,0.11485154950366153,-0.03967771919500392,0.4509027299116795
egemaps_loudness_sma3_stddevFallingSlope,vowel,other,47,0.2328175618981721,0.1152876298069635,0.1947088237813148,0.4509027299116795
egemaps_F3amplitudeLogRelF0_sma3nz_stddevNorm,prosody,other,45,-0.23218112651988768,0.12484574073057372,-0.08768686612293958,0.4776706601865429
egemaps_shimmerLocaldB_sma3nz_stddevNorm,vowel,other,47,0.21741520955762605,0.14210085296100325,0.20003837028550006,0.5321223430029058
egemaps_F0semitoneFrom27.5Hz_sma3nz_amean,prosody,source_pitch,45,0.21761625880461796,0.1509996579287224,0.12719257598710662,0.5452142833826402
egemaps_mfcc3V_sma3nz_amean,vowel,spectral_envelope_mfcc,47,-0.21238325339068975,0.15179261298721233,-0.1905378988896118,0.5452142833826402
egemaps_mfcc3V_sma3nz_amean,prosody,spectral_envelope_mfcc,45,-0.20786241074190343,0.17063559385257723,-0.13000111389007302,0.6006372903610718
egemaps_slopeUV0-500_sma3nz_amean,vowel,other,47,0.1998553936111044,0.17801930173388386,0.1444837643654106,0.6143411197090894
egemaps_slopeV0-500_sma3nz_amean,vowel,surface_damping,47,0.19717170773661802,0.1840374209107319,0.050232262170624334,0.6228958861594004
egemaps_mfcc2_sma3_amean,prosody,other,45,-0.19837218019439734,0.19145039060875252,-0.07195045679485212,0.6350851526174013
egemaps_alphaRatioV_sma3nz_stddevNorm,vowel,other,47,-0.19161920437999871,0.19694794519242076,-0.1198777301075332,0.6350851526174013
egemaps_F2bandwidth_sma3nz_amean,prosody,surface_damping,45,0.19534057876949956,0.19846411019293791,0.253360904274976,0.6350851526174013
egemaps_HNRdBACF_sma3nz_amean,vowel,surface_damping,47,0.18490992949075033,0.21338682574048437,0.04966395180600793,0.6706443094700937
egemaps_logRelF0-H1-A3_sma3nz_amean,prosody,surface_damping,45,0.18703662704043178,0.21859808682826867,0.2062275278918072,0.6749695312592155
egemaps_slopeV500-1500_sma3nz_stddevNorm,prosody,other,45,-0.18275284241829365,0.22951999789566602,-0.1727096525445509,0.6964744763730555
egemaps_mfcc3_sma3_stddevNorm,prosody,other,45,0.18090751981183414,0.2343382843935716,0.13257007876572507,0.6990430178520102
egemaps_loudness_sma3_percentile50.0,prosody,other,45,0.1746466038256322,0.2511989828684475,0.07971925417998638,0.7310791285212279
egemaps_mfcc4V_sma3nz_amean,prosody,spectral_envelope_mfcc,45,-0.17385575128000672,0.25338537977156195,-0.1359627731359351,0.7310791285212279
egemaps_F1bandwidth_sma3nz_stddevNorm,prosody,other,45,-0.16983558417307706,0.26469689405120533,-0.16710135333813253,0.7486836855695681
egemaps_loudness_sma3_meanRisingSlope,vowel,other,47,0.16212153029795845,0.2762673694421576,-0.047440059803051646,0.7486836855695681
egemaps_slopeV500-1500_sma3nz_amean,vowel,surface_damping,47,0.16148530595501248,0.2781817690407324,-0.02845362062125125,0.7486836855695681
egemaps_MeanUnvoicedSegmentLength,vowel,other,47,0.15959480727244554,0.2839216490254704,0.15517220968097034,0.7486836855695681
egemaps_mfcc3_sma3_amean,vowel,other,47,-0.158477699970177,0.2873495325356089,-0.10722640509131855,0.7486836855695681
egemaps_mfcc2_sma3_stddevNorm,vowel,other,47,0.15708957413102215,0.29164648894380457,0.09270190708032698,0.7486836855695681
egemaps_loudness_sma3_pctlrange0-2,vowel,other,47,0.15656902694133912,0.29326854846901707,0.12517387378311304,0.7486836855695681
egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,prosody,source_pitch,45,0.1600817361103625,0.2935180358198875,0.06700781415324185,0.7486836855695681
egemaps_mfcc1V_sma3nz_amean,prosody,spectral_envelope_mfcc,45,0.15836822226150724,0.29878319603371234,0.19104035181410062,0.7507873464614825
egemaps_mfcc4_sma3_stddevNorm,prosody,other,45,0.15705013468546475,0.3028744409020753,0.11978004154610304,0.7507873464614825
egemaps_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,vowel,other,47,0.14910785055588188,0.3171596440218333,0.11826653665857392,0.775279129831148
egemaps_F3bandwidth_sma3nz_stddevNorm,vowel,other,47,-0.14529050449820607,0.3298464600508245,-0.16452525379190672,0.7952462598485632
egemaps_mfcc1_sma3_amean,prosody,other,45,0.1449237289858737,0.3421895334497014,0.15098872288021337,0.8138561876641546
egemaps_mfcc2V_sma3nz_amean,prosody,spectral_envelope_mfcc,45,-0.1418262231821738,0.35271493995307013,-0.040260276441732926,0.8259831652553786
egemaps_F2bandwidth_sma3nz_stddevNorm,vowel,other,47,-0.13649904085022543,0.3602526153462027,-0.05505918142386172,0.8259831652553786
egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,prosody,other,45,-0.13932185678769302,0.3613676347992282,0.009127673354171091,0.8259831652553786
egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,vowel,other,47,-0.13358205443204016,0.3707051054352156,-0.2100267397825618,0.8305636959371835
egemaps_jitterLocal_sma3nz_amean,vowel,surface_damping,47,-0.13187195471970933,0.3769166237657383,-0.06461866917782062,0.8305636959371835
egemaps_F1bandwidth_sma3nz_amean,prosody,surface_damping,45,0.13457674151394,0.3781104638542039,0.12973212070288084,0.8305636959371835
egemaps_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,vowel,other,47,0.12990544311424,0.3841356318258923,0.1565301570216575,0.8305636959371835
egemaps_alphaRatioV_sma3nz_stddevNorm,prosody,other,45,-0.1312156181950316,0.39024396933048977,-0.13142157798113913,0.8305636959371835
egemaps_jitterLocal_sma3nz_stddevNorm,prosody,other,45,0.13082019192221886,0.3916862884249217,0.255687754924421,0.8305636959371835
egemaps_slopeV500-1500_sma3nz_amean,prosody,surface_damping,45,0.12745906860331044,0.4040714808514396,0.057977568920537674,0.8441387725117735
egemaps_loudness_sma3_stddevFallingSlope,prosody,other,45,-0.12508651096643394,0.41294842613622895,-0.20093240701068907,0.8441387725117735
egemaps_HNRdBACF_sma3nz_amean,prosody,surface_damping,45,0.1220549095415362,0.42445175157081894,0.09817400170768349,0.8441387725117735
egemaps_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,prosody,other,45,-0.1166507504797619,0.44539921593108645,0.05417024328814104,0.8441387725117735
egemaps_F2bandwidth_sma3nz_stddevNorm,prosody,other,45,-0.11592580231293852,0.4482518063211499,0.041279575610723984,0.8441387725117735
egemaps_hammarbergIndexV_sma3nz_amean,prosody,surface_damping,45,0.11414638408528113,0.4552958715407933,0.06467181374102875,0.8441387725117735
egemaps_jitterLocal_sma3nz_stddevNorm,vowel,other,47,0.110818712825861,0.4583505836579671,0.15038982752673508,0.8441387725117735
egemaps_F1frequency_sma3nz_stddevNorm,vowel,other,47,0.11064519709596667,0.4590589772107836,0.027339837310800988,0.8441387725117735
egemaps_F2frequency_sma3nz_amean,prosody,geometric_vocal_tract,45,0.11203744396361313,0.4637216456273351,0.11041210514764666,0.8441387725117735
egemaps_F2frequency_sma3nz_stddevNorm,vowel,other,47,0.10850516976060294,0.46784438798722283,0.15363378333348496,0.8441387725117735
egemaps_mfcc2V_sma3nz_stddevNorm,prosody,other,45,-0.10999440822074723,0.47196333685103864,-0.027972010313147555,0.8441387725117735
egemaps_loudness_sma3_stddevRisingSlope,vowel,other,47,0.10729055965134246,0.4728704472059462,-0.07351072748852289,0.8441387725117735
egemaps_equivalentSoundLevel_dBp,prosody,other,45,0.10959898194793448,0.47356744598743516,0.03383018872082493,0.8441387725117735
egemaps_F3frequency_sma3nz_amean,prosody,geometric_vocal_tract,45,0.10768775496267285,0.4813612468170253,0.07966459090056736,0.8441387725117735
egemaps_mfcc2_sma3_stddevNorm,prosody,other,45,0.10722642431105796,0.48325254509196747,0.06966535649109798,0.8441387725117735
egemaps_logRelF0-H1-A3_sma3nz_amean,vowel,surface_damping,47,-0.10462998512629568,0.48397951519496185,0.014909128916558871,0.8441387725117735
egemaps_F1frequency_sma3nz_amean,vowel,geometric_vocal_tract,47,0.10358889074692958,0.4883634662982309,0.14999929941448328,0.8441387725117735
egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,prosody,other,45,-0.10577652797741122,0.48922187094818204,0.049308661083103084,0.8441387725117735
egemaps_logRelF0-H1-H2_sma3nz_amean,prosody,surface_damping,45,0.10531519732579633,0.4911292016890969,0.008788347520801067,0.8441387725117735
egemaps_mfcc3V_sma3nz_stddevNorm,prosody,other,45,0.10254721341610708,0.5026536132371582,0.08349345213763071,0.8441387725117735
egemaps_shimmerLocaldB_sma3nz_amean,vowel,surface_damping,47,-0.09959802895935942,0.5053584104990372,-0.007723136530948226,0.8441387725117735
egemaps_StddevVoicedSegmentLengthSec,vowel,other,47,-0.09865960745130965,0.5093978771823717,-0.010174931633018898,0.8441387725117735
egemaps_alphaRatioV_sma3nz_amean,prosody,surface_damping,45,0.10063598643084543,0.5106906469974255,0.06407581588359745,0.8441387725117735
egemaps_spectralFluxUV_sma3nz_amean,prosody,other,45,-0.1000428470216263,0.5131980037429532,-0.08171691434875183,0.8441387725117735
egemaps_mfcc1_sma3_amean,vowel,other,47,-0.09653258439789249,0.5186138137187095,0.05764903386565038,0.8451484371712303
egemaps_loudnessPeaksPerSec,prosody,other,45,-0.09465115928993977,0.5362702161609886,-0.03922295310030311,0.8553836919327985
egemaps_F1amplitudeLogRelF0_sma3nz_amean,vowel,other,47,-0.09219469115053364,0.5376634494890503,-0.0791988677006456,0.8553836919327985
egemaps_hammarbergIndexV_sma3nz_stddevNorm,vowel,other,47,0.09155846680758767,0.5404856640157318,0.21023684650451493,0.8553836919327985
egemaps_loudness_sma3_meanFallingSlope,prosody,other,45,-0.09279336535339251,0.5443350766845081,-0.14372825307616036,0.8553836919327985
egemaps_mfcc1_sma3_stddevNorm,prosody,other,45,-0.0873233019128161,0.5684132835864227,-0.0494363952127914,0.8846745925079538
egemaps_mfcc4V_sma3nz_stddevNorm,vowel,other,47,0.08155239305034656,0.5857885737805407,-0.03052652345080757,0.8846745925079538
egemaps_loudness_sma3_stddevNorm,prosody,other,45,-0.08270999539666733,0.5890940747006467,-0.1102279602473629,0.8846745925079538
egemaps_MeanVoicedSegmentLengthSec,vowel,other,47,-0.07963782609756744,0.5946469288039642,-0.09300181122272688,0.8846745925079538
egemaps_F3bandwidth_sma3nz_stddevNorm,prosody,other,45,-0.08119419468421844,0.5959615103886051,-0.082019058237189,0.8846745925079538
egemaps_spectralFluxV_sma3nz_stddevNorm,prosody,other,45,0.0810623859266142,0.5965603384061389,0.10044826043040417,0.8846745925079538
egemaps_VoicedSegmentsPerSec,vowel,other,47,-0.07888190118634969,0.5981606619798097,-0.002125610150016681,0.8846745925079538
egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,vowel,other,47,0.07684077043211318,0.6076935248597666,0.08303172753368852,0.891283836460991
egemaps_F3amplitudeLogRelF0_sma3nz_stddevNorm,vowel,other,47,0.07547934250404416,0.614088072233168,0.18248918588232138,0.8932190141573352
egemaps_loudness_sma3_percentile80.0,prosody,other,45,0.07427423490999528,0.627749648456837,0.003892494722889389,0.8962347925634568
egemaps_slopeUV500-1500_sma3nz_amean,vowel,other,47,0.07045553384032567,0.6379279691885203,-0.033795129595317004,0.8962347925634568
egemaps_F3frequency_sma3nz_stddevNorm,prosody,other,45,0.07163805975791028,0.6400411757290634,0.1000555226572639,0.8962347925634568
egemaps_F1frequency_sma3nz_stddevNorm,prosody,other,45,0.07130853786389965,0.6415844269614566,0.05386336897604614,0.8962347925634568
egemaps_slopeV0-500_sma3nz_stddevNorm,vowel,other,47,0.0690014219213216,0.6448977783360885,0.24671871063892767,0.8962347925634568
egemaps_jitterLocal_sma3nz_amean,prosody,surface_damping,45,0.06919959774223164,0.6514964018274738,0.18271489752317224,0.8962347925634568
egemaps_loudness_sma3_amean,prosody,other,45,0.0691336933634295,0.6518071218643322,-0.006377380573836206,0.8962347925634568
egemaps_slopeUV500-1500_sma3nz_amean,prosody,other,45,0.06669523134775086,0.6633443845593586,0.07304302641648605,0.9050279975383497
egemaps_mfcc1V_sma3nz_stddevNorm,prosody,other,45,0.0623455423468106,0.6841153327757509,0.022814455085705676,0.92503095294111
egemaps_logRelF0-H1-H2_sma3nz_amean,vowel,surface_damping,47,-0.060036442543446616,0.6885173570186671,0.09502745760690819,0.92503095294111
egemaps_F3amplitudeLogRelF0_sma3nz_amean,vowel,other,47,-0.05760722232492565,0.7005187993672921,-0.12461215613943778,0.9286341644747996
egemaps_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,prosody,other,45,0.05746861831545333,0.7076805315450687,0.10419190400168934,0.9286341644747996
egemaps_slopeV0-500_sma3nz_stddevNorm,prosody,other,45,-0.05727090517904694,0.7086417768888693,0.007161761880530108,0.9286341644747996
egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,vowel,other,47,-0.05523584068303614,0.712304614796011,0.09930212616633562,0.9286341644747996
egemaps_mfcc2V_sma3nz_stddevNorm,vowel,other,47,0.053500683384092605,0.7209708284720961,-0.017281011796556268,0.9330210721403598
egemaps_alphaRatioUV_sma3nz_amean,prosody,other,45,0.05219626801128329,0.733463171901696,-0.021947856780560805,0.9422592573335655
egemaps_F3bandwidth_sma3nz_amean,prosody,surface_damping,45,0.0493623797227919,0.747444242250557,0.06670699663173152,0.9532622220007104
egemaps_MeanVoicedSegmentLengthSec,prosody,other,45,0.047978387767947266,0.7543017646413197,-0.07364370089453444,0.9550871264523184
egemaps_loudness_sma3_percentile20.0,prosody,other,45,0.046133065161487755,0.7634741904549444,-0.014239829802861988,0.9597961251433587
egemaps_F3frequency_sma3nz_amean,vowel,geometric_vocal_tract,47,-0.041296743714856345,0.7828475365072475,0.02792664096077091,0.968678364963158
egemaps_HNRdBACF_sma3nz_stddevNorm,vowel,other,47,0.04083403510180473,0.785222635667977,0.02436508563987179,0.968678364963158
egemaps_mfcc4V_sma3nz_amean,vowel,spectral_envelope_mfcc,47,-0.040255649335490216,0.7881942264418464,0.017145970588505234,0.968678364963158
egemaps_HNRdBACF_sma3nz_stddevNorm,prosody,other,45,0.0358519820683562,0.8151327027091985,0.07780909241282943,0.968678364963158
egemaps_F2frequency_sma3nz_stddevNorm,prosody,other,45,0.03440208573470944,0.8224861790252482,0.03354774857604219,0.968678364963158
egemaps_slopeV500-1500_sma3nz_stddevNorm,vowel,other,47,0.03331502013971604,0.8240743307572381,0.03413007497498418,0.968678364963158
egemaps_mfcc4_sma3_stddevNorm,vowel,other,47,0.03296798867992733,0.8258783499182142,-0.04906538294782372,0.968678364963158
egemaps_loudness_sma3_meanRisingSlope,prosody,other,45,0.033215806916271184,0.8285138971494561,-0.037567419880748125,0.968678364963158
egemaps_shimmerLocaldB_sma3nz_amean,prosody,surface_damping,45,0.03314990253746906,0.8288490595289923,0.052011246499318056,0.968678364963158
egemaps_loudness_sma3_pctlrange0-2,prosody,other,45,0.03051372738538405,0.8422795894837698,-0.0064355727401439675,0.968678364963158
egemaps_F2amplitudeLogRelF0_sma3nz_stddevNorm,vowel,other,47,0.027473323899939443,0.8545544950652958,0.2081148144339166,0.968678364963158
egemaps_shimmerLocaldB_sma3nz_stddevNorm,prosody,other,45,-0.028075265369705404,0.8547424489841667,0.0861618216518675,0.968678364963158
egemaps_mfcc4_sma3_amean,vowel,other,47,0.027415485323307995,0.854857406647553,0.10222781489077785,0.968678364963158
egemaps_F3frequency_sma3nz_stddevNorm,vowel,other,47,0.027299808170045087,0.855463291779622,0.03933326978925142,0.968678364963158
egemaps_logRelF0-H1-H2_sma3nz_stddevNorm,vowel,other,47,0.025101942258049934,0.8669903678851179,0.2439039265757631,0.968678364963158
egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,prosody,source_pitch,45,-0.025570898975224642,0.8675786068080126,-0.01017139477259573,0.968678364963158
egemaps_spectralFluxV_sma3nz_stddevNorm,vowel,other,47,0.024870587951524126,0.8682053785085704,0.00012702151208675516,0.968678364963158
egemaps_spectralFlux_sma3_amean,prosody,other,45,0.024121002641577884,0.875025707848425,-0.018073709661995205,0.968678364963158
egemaps_F3bandwidth_sma3nz_amean,vowel,surface_damping,47,-0.022846237769423326,0.8788492531171652,-0.08891122001904361,0.968678364963158
egemaps_F2frequency_sma3nz_amean,vowel,geometric_vocal_tract,47,0.022441367733003165,0.8809806307975672,0.06221080307303253,0.968678364963158
egemaps_F1bandwidth_sma3nz_amean,vowel,surface_damping,47,0.021400273353637037,0.8864651071645365,-0.004929790312550233,0.968678364963158
egemaps_F2amplitudeLogRelF0_sma3nz_amean,vowel,other,47,0.019722954631324948,0.8953121624430738,-0.10110163504030344,0.968678364963158
egemaps_spectralFlux_sma3_stddevNorm,vowel,other,47,0.01856618309869592,0.9014209840296064,0.0022600774167657505,0.968678364963158
egemaps_logRelF0-H1-H2_sma3nz_stddevNorm,prosody,other,45,-0.0176623735189696,0.9083202287829699,0.14690083617140057,0.968678364963158
egemaps_hammarbergIndexV_sma3nz_amean,vowel,surface_damping,47,0.017120218682909635,0.9090649100948723,0.04894962225697232,0.968678364963158
egemaps_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,vowel,other,47,0.014980191347545928,0.9203926657494688,0.050292079755860405,0.968678364963158
egemaps_mfcc1V_sma3nz_amean,vowel,spectral_envelope_mfcc,47,-0.013996935544811255,0.9256026841579101,0.13058232410993528,0.968678364963158
egemaps_spectralFlux_sma3_stddevNorm,prosody,other,45,-0.013905823927248453,0.9277608413701017,-0.03703497000114232,0.968678364963158
egemaps_spectralFluxV_sma3nz_amean,prosody,other,45,-0.013444493275633575,0.930151384538487,-0.0448988750651028,0.968678364963158
egemaps_hammarbergIndexUV_sma3nz_amean,prosody,other,45,0.009292517411099677,0.9516911471863858,0.0350926045219798,0.9825803411694732
egemaps_StddevVoicedSegmentLengthSec,prosody,other,45,-0.008699378001880548,0.9547713941843495,-0.1627495617758259,0.9825803411694732
egemaps_loudness_sma3_stddevRisingSlope,prosody,other,45,0.007644907941046542,0.9602489697792579,-0.058219682232085776,0.9825803411694732
egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,prosody,other,45,0.005601872198180657,0.9708667038364973,0.022840929840193553,0.9839923877276777
egemaps_StddevUnvoicedSegmentLength,vowel,other,47,-0.004201939161675158,0.9776370765018141,0.055641040656657675,0.9839923877276777
egemaps_loudness_sma3_stddevNorm,vowel,other,47,0.003585991751149991,0.9809145223572964,0.14402103943503022,0.9839923877276777
egemaps_F2bandwidth_sma3nz_amean,vowel,surface_damping,47,0.0030076059848354758,0.9839923877276777,0.08259533607135866,0.9839923877276777
