family,family_label,feature,base,task,pooled_shift_z,abs_shift_z,cycles_concordant,cycles_total
spectral_envelope_mfcc,Spectral envelope / timbre (MFCC),MFCC2 (low-vs-mid spectral shape),egemaps_mfcc2V_sma3nz_amean,prosody,1.337201454637905,1.337201454637905,2,2
surface_damping,Surface / damping (mucosa & closure),Alpha ratio (low-vs-high energy balance),egemaps_alphaRatioV_sma3nz_amean,prosody,-1.2951639573452827,1.2951639573452827,2,2
surface_damping,Surface / damping (mucosa & closure),H1-H2 (glottal open quotient proxy),egemaps_logRelF0-H1-H2_sma3nz_amean,vowel,1.1142864804850325,1.1142864804850325,2,2
surface_damping,Surface / damping (mucosa & closure),Harmonics-to-noise ratio (HNR),egemaps_HNRdBACF_sma3nz_amean,prosody,1.0399434754349475,1.0399434754349475,2,2
surface_damping,Surface / damping (mucosa & closure),H1-A3 (glottal source tilt),egemaps_logRelF0-H1-A3_sma3nz_amean,prosody,0.9488102562562127,0.9488102562562127,2,2
surface_damping,Surface / damping (mucosa & closure),F3 bandwidth (resonance damping),egemaps_F3bandwidth_sma3nz_amean,prosody,-0.9262086222692564,0.9262086222692564,2,2
surface_damping,Surface / damping (mucosa & closure),F2 bandwidth (resonance damping),egemaps_F2bandwidth_sma3nz_amean,vowel,0.8955736544212238,0.8955736544212238,2,2
spectral_envelope_mfcc,Spectral envelope / timbre (MFCC),MFCC3 (mid spectral detail),egemaps_mfcc3V_sma3nz_amean,prosody,0.8891756733921506,0.8891756733921506,2,2
spectral_envelope_mfcc,Spectral envelope / timbre (MFCC),MFCC2 (low-vs-mid spectral shape),egemaps_mfcc2V_sma3nz_amean,vowel,0.8711665054555888,0.8711665054555888,2,2
surface_damping,Surface / damping (mucosa & closure),Spectral slope 500-1500 Hz,egemaps_slopeV500-1500_sma3nz_amean,vowel,-0.8432710095435245,0.8432710095435245,2,2
surface_damping,Surface / damping (mucosa & closure),Alpha ratio (low-vs-high energy balance),egemaps_alphaRatioV_sma3nz_amean,vowel,-0.8060830310187193,0.8060830310187193,2,2
surface_damping,Surface / damping (mucosa & closure),Shimmer (loudness perturbation),egemaps_shimmerLocaldB_sma3nz_amean,prosody,-0.7710224517994025,0.7710224517994025,2,2
surface_damping,Surface / damping (mucosa & closure),Hammarberg index (low-vs-high peak balance),egemaps_hammarbergIndexV_sma3nz_amean,prosody,0.767944804677969,0.767944804677969,2,2
source_pitch,Source pitch (fold mass/tension),High pitch (F0 80th pct),egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,vowel,-0.7601426984751698,0.7601426984751698,2,2
surface_damping,Surface / damping (mucosa & closure),H1-A3 (glottal source tilt),egemaps_logRelF0-H1-A3_sma3nz_amean,vowel,0.7575447793549802,0.7575447793549802,2,2
geometric_vocal_tract,Geometric (vocal-tract shape),F2 frequency (tongue advancement / back cavity),egemaps_F2frequency_sma3nz_amean,prosody,0.7081734422313025,0.7081734422313025,2,2
surface_damping,Surface / damping (mucosa & closure),Spectral slope 500-1500 Hz,egemaps_slopeV500-1500_sma3nz_amean,prosody,-0.6386243403237367,0.6386243403237367,2,2
surface_damping,Surface / damping (mucosa & closure),Spectral slope 0-500 Hz,egemaps_slopeV0-500_sma3nz_amean,prosody,-0.5995628176956832,0.5995628176956832,2,2
surface_damping,Surface / damping (mucosa & closure),H1-H2 (glottal open quotient proxy),egemaps_logRelF0-H1-H2_sma3nz_amean,prosody,0.5992448634161806,0.5992448634161806,2,2
geometric_vocal_tract,Geometric (vocal-tract shape),F3 frequency (lip rounding / fine vocal-tract shape),egemaps_F3frequency_sma3nz_amean,prosody,0.5920335256677598,0.5920335256677598,2,2
source_pitch,Source pitch (fold mass/tension),Mean pitch (F0),egemaps_F0semitoneFrom27.5Hz_sma3nz_amean,vowel,-0.5799785634800527,0.5799785634800527,2,2
source_pitch,Source pitch (fold mass/tension),Median pitch (F0),egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,vowel,-0.5453161541606423,0.5453161541606423,2,2
surface_damping,Surface / damping (mucosa & closure),Hammarberg index (low-vs-high peak balance),egemaps_hammarbergIndexV_sma3nz_amean,vowel,0.4764385090881564,0.4764385090881564,2,2
surface_damping,Surface / damping (mucosa & closure),Spectral slope 0-500 Hz,egemaps_slopeV0-500_sma3nz_amean,vowel,-0.46784523972106595,0.46784523972106595,2,2
spectral_envelope_mfcc,Spectral envelope / timbre (MFCC),MFCC1 (overall spectral balance / brightness),egemaps_mfcc1V_sma3nz_amean,prosody,0.4540967398949052,0.4540967398949052,2,2
surface_damping,Surface / damping (mucosa & closure),F3 bandwidth (resonance damping),egemaps_F3bandwidth_sma3nz_amean,vowel,0.41994178717298863,0.41994178717298863,1,2
spectral_envelope_mfcc,Spectral envelope / timbre (MFCC),MFCC4 (finer envelope detail),egemaps_mfcc4V_sma3nz_amean,vowel,0.38002129063288204,0.38002129063288204,2,2
geometric_vocal_tract,Geometric (vocal-tract shape),F1 frequency (vowel openness / front cavity),egemaps_F1frequency_sma3nz_amean,vowel,0.3754245572904517,0.3754245572904517,1,2
source_pitch,Source pitch (fold mass/tension),Low pitch (F0 20th pct),egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,vowel,-0.34251844884953203,0.34251844884953203,2,2
geometric_vocal_tract,Geometric (vocal-tract shape),F2 frequency (tongue advancement / back cavity),egemaps_F2frequency_sma3nz_amean,vowel,0.33169739626168004,0.33169739626168004,1,2
spectral_envelope_mfcc,Spectral envelope / timbre (MFCC),MFCC1 (overall spectral balance / brightness),egemaps_mfcc1V_sma3nz_amean,vowel,0.3039865513527791,0.3039865513527791,1,2
surface_damping,Surface / damping (mucosa & closure),F1 bandwidth (resonance damping),egemaps_F1bandwidth_sma3nz_amean,prosody,-0.3017395121900962,0.3017395121900962,1,2
geometric_vocal_tract,Geometric (vocal-tract shape),F1 frequency (vowel openness / front cavity),egemaps_F1frequency_sma3nz_amean,prosody,0.2350414126814272,0.2350414126814272,2,2
source_pitch,Source pitch (fold mass/tension),High pitch (F0 80th pct),egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,prosody,-0.19833079808298054,0.19833079808298054,1,2
surface_damping,Surface / damping (mucosa & closure),F1 bandwidth (resonance damping),egemaps_F1bandwidth_sma3nz_amean,vowel,0.18751553738778423,0.18751553738778423,2,2
surface_damping,Surface / damping (mucosa & closure),Jitter (pitch perturbation),egemaps_jitterLocal_sma3nz_amean,vowel,0.17955878326853153,0.17955878326853153,1,2
surface_damping,Surface / damping (mucosa & closure),Shimmer (loudness perturbation),egemaps_shimmerLocaldB_sma3nz_amean,vowel,0.17478115451359216,0.17478115451359216,2,2
surface_damping,Surface / damping (mucosa & closure),F2 bandwidth (resonance damping),egemaps_F2bandwidth_sma3nz_amean,prosody,0.15377808912524066,0.15377808912524066,1,2
source_pitch,Source pitch (fold mass/tension),Mean pitch (F0),egemaps_F0semitoneFrom27.5Hz_sma3nz_amean,prosody,-0.10882637990992464,0.10882637990992464,1,2
spectral_envelope_mfcc,Spectral envelope / timbre (MFCC),MFCC4 (finer envelope detail),egemaps_mfcc4V_sma3nz_amean,prosody,-0.08299120079212677,0.08299120079212677,1,2
source_pitch,Source pitch (fold mass/tension),Low pitch (F0 20th pct),egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,prosody,0.0741389382245783,0.0741389382245783,1,2
source_pitch,Source pitch (fold mass/tension),Median pitch (F0),egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,prosody,-0.0507090267220411,0.0507090267220411,1,2
surface_damping,Surface / damping (mucosa & closure),Harmonics-to-noise ratio (HNR),egemaps_HNRdBACF_sma3nz_amean,vowel,-0.03974572578300378,0.03974572578300378,1,2
surface_damping,Surface / damping (mucosa & closure),Jitter (pitch perturbation),egemaps_jitterLocal_sma3nz_amean,prosody,0.038809062681015444,0.038809062681015444,1,2
geometric_vocal_tract,Geometric (vocal-tract shape),F3 frequency (lip rounding / fine vocal-tract shape),egemaps_F3frequency_sma3nz_amean,vowel,-0.02352998945839646,0.02352998945839646,1,2
spectral_envelope_mfcc,Spectral envelope / timbre (MFCC),MFCC3 (mid spectral detail),egemaps_mfcc3V_sma3nz_amean,vowel,-0.0025108190630126863,0.0025108190630126863,1,2
